YEAR,S.No,STATE,DISTRICT,RR_C,RR_C_NC,RR_PQ,RR_Tot,TGA_C,TGA_C_NC,TGA_PQ,TGA_Tot,TGA,TGA_Tot.1,GWR_RR_C,GWR_RR_C_NC,GWR_RR_PQ,GWR_RR_Tot,GWR_CI_C,GWR_CI_C_NC,GWR_CI_PQ,GWR_CI_Tot,GWR_SWI_IRR_C,GWR_SWI_IRR_C_NC,GWR_SWI_IRR_PQ,GWR_SWI_IRR_Tot,GWR_GWI_IRR_C,GWR_GWI_IRR_C_NC,GWR_GWI_IRR_PQ,GWR_GWI_IRR_Tot,GWR_TP_C,GWR_TP_C_NC,GWR_TP_PQ,GWR_TP_Tot,GWR_WCS_C,GWR_WCS_C_NC,GWR_WCS_PQ,GWR_WCS_Tot,GWR_PL_C,GWR_PL_C_NC,GWR_PL_PQ,GWR_PL_Tot,GWR_SF_C,GWR_SF_C_NC,GWR_SF_PQ,GWR_SF_Tot,GWR_C,GWR_C_NC,GWR_PQ,GWR_Tot,IFO_BF_C,IFO_BF_C_NC,IFO_BF_PQ,IFO_BF_Tot,IFO_SR_C,IFO_SR_C_NC,IFO_SR_PQ,IFO_SR_Tot,IFO_LF_C,IFO_LF_C_NC,IFO_LF_PQ,IFO_LF_Tot,IFO_VF_C,IFO_VF_C_NC,IFO_VF_PQ,IFO_VF_Tot,IFO_EV_C,IFO_EV_C_NC,IFO_EV_PQ,IFO_EV_Tot,IFO_TR_C,IFO_TR_C_NC,IFO_TR_PQ,IFO_TR_Tot,IFO_ET_C,IFO_ET_C_NC,IFO_ET_PQ,IFO_ET_Tot,IFO_C,IFO_C_NC,IFO_PQ,IFO_Tot,AGR_C,AGR_C_NC,AGR_PQ,AGR_Tot,EFR_C,EFR_C_NC,EFR_PQ,EFR_Tot,AER_C,AER_C_NC,AER_PQ,AER_Tot,GWE_DOM_C,GWE_DOM_C_NC,GWE_DOM_PQ,GWE_DOM_Tot,GWE_IND_C,GWE_IND_C_NC,GWE_IND_PQ,GWE_IND_Tot,GWE_IRR_C,GWE_IRR_C_NC,GWE_IRR_PQ,GWE_IRR_Tot,GWE_C,GWE_C_NC,GWE_PQ,GWE_Tot,GWE_C.1,GWE_C_NC.1,GWE_PQ.1,GWE_Tot.1,DOM_DOM_C,DOM_DOM_C_NC,DOM_DOM_PQ,DOM_DOM_Tot,NAG_C,NAG_C_NC,NAG_PQ,NAG_Tot,QT_MP_C,QT_MP_C_NC,QT_MP_PQ,QT_OP_C,QT_OP_C_NC,QT_OP_PQ,APR_WL,APR_FP,APR_SD,CSA_C,CSA_C_NC,CSA_PQ,CSA_Tot,UCA_FR,UCA_SL,UCA_FR.1,UCA_SL.1,CFA_FR,CFA_SL,CFA_FR.1,CFA_SL.1,CFA_FR.2,CFA_SL.2,CFA_FR.3,CFA_SL.3,CFA_FR.4,CFA_SL.4,CFA_FR.5,CFA_SL.5,TGAH_FR,TGAH_SL
2012-2013,1,WEST BENGAL,ALIPURDUAR,NA,3665.0,NA,3665.0,NA,266728,NA,266728,NA,266728.0,NA,168612.10499999998,NA,168612.10499999998,NA,NA,NA,NA,NA,2509.38,NA,2509.38,NA,1432.046,NA,1432.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172553.53100000002,NA,172553.53100000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172553.53100000002,NA,172553.53100000002,NA,17255.353000000003,NA,17255.353000000003,NA,155298.178,NA,155298.178,NA,3424.57089,NA,3424.57089,NA,NA,NA,NA,NA,4211.9,NA,4211.9,NA,7636.472,NA,7636.472,NA,4.917296582835633,NA,4.917296582835633,NA,4056.0390000000007,NA,4056.0390000000007,NA,147030.23799999998,NA,147030.23799999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155298.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155298.178,NA
2012-2013,2,WEST BENGAL,BANKURA,1379.6121903229664,1369.2193285236465,NA,1373.3920013384447,275973,411392,NA,687365,NA,687365.0,42330.906,59985.328,NA,102316.234,NA,NA,NA,NA,NA,69211.88200000001,NA,69211.88200000001,NA,23911.996,NA,23911.996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42330.906,153109.20600000003,NA,195440.11200000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42330.906,153109.20600000003,NA,195440.11200000002,4233.090999999999,12803.764000000001,NA,17036.855,38097.815,140305.442,NA,178403.257,NA,6125.5088399999995,NA,6125.5088399999995,NA,NA,NA,NA,NA,70329.40000000002,NA,52159.10000000001,NA,58284.61,NA,58284.61,NA,41.54123259167666,NA,32.67014906572025,NA,7164.617999999999,NA,7164.617999999999,38097.815,81058.79699999999,NA,119156.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178403.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178403.257,NA
2012-2013,3,WEST BENGAL,BARDDHAMAN,1321.7127674326896,1348.6711801299284,NA,1331.961748435731,461518,283079,NA,744597,NA,744597.0,120997.69199999998,67743.04499999998,NA,188740.73699999996,NA,NA,NA,NA,NA,19789.688000000002,NA,19789.688000000002,NA,29333.047999999995,NA,29333.047999999995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120997.69199999998,116865.78100000002,NA,237863.47300000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120997.69199999998,116865.78100000002,NA,237863.47300000006,11546.494,10639.599,NA,22186.091000000004,109451.198,106226.18200000002,NA,215677.38,NA,17682.263669999997,NA,17682.263669999997,NA,NA,NA,NA,NA,94059.59999999999,NA,94059.59999999999,NA,111741.86100000003,NA,111741.86100000003,NA,105.19239126941417,NA,51.8097266389271,NA,20050.671000000002,NA,20050.671000000002,109451.198,28287.641000000003,NA,137738.839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215677.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215677.38,NA
2012-2013,4,WEST BENGAL,BIRBHUM,1369.5030053349606,1415.5442514474773,NA,1376.8536185984271,381821,72540,NA,454361,NA,454361.0,91611.26999999999,18904.577,NA,110515.84699999998,NA,NA,NA,NA,NA,3499.94,NA,3499.94,NA,12305.211999999998,NA,12305.211999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91611.26999999999,34709.729,NA,126320.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91611.26999999999,34709.729,NA,126320.999,8951.12,2711.6109999999994,NA,11662.732,82660.15000000001,31998.118,NA,114658.268,NA,7917.97566,NA,7917.97566,NA,NA,NA,NA,NA,36191.8,NA,36191.8,NA,44109.77700000001,NA,44109.77700000001,NA,137.85116049637674,NA,38.47064653026157,NA,8221.744999999999,NA,8221.744999999999,82660.15,9099.380000000001,NA,91759.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114658.268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114658.268,NA
2012-2013,5,WEST BENGAL,DAKSHIN DINAJPUR,NA,1609.249851165353,NA,1609.249851165353,NA,225082,NA,225082,NA,225082.0,NA,59998.32599999999,NA,59998.32599999999,NA,NA,NA,NA,NA,100.15,NA,100.15,NA,17240.039999999997,NA,17240.039999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77338.517,NA,77338.517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77338.517,NA,77338.517,NA,7733.851999999999,NA,7733.851999999999,NA,69604.66500000001,NA,69604.66500000001,NA,3741.01713,NA,3741.01713,NA,NA,NA,NA,NA,50706.0,NA,50706.0,NA,54447.015,NA,54447.015,NA,78.22322684837287,NA,78.22322684837287,NA,4303.3240000000005,NA,4303.3240000000005,NA,14996.232,NA,14996.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69604.66500000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69604.66500000001,NA
2012-2013,6,WEST BENGAL,DARJILING,NA,2983.447986932831,NA,2983.447986932831,NA,80201,NA,80201,272416.9747,352617.9747,NA,39727.632,NA,39727.632,NA,NA,NA,NA,NA,5059.576999999999,NA,5059.576999999999,NA,397.494,NA,397.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45184.702000000005,NA,45184.702000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45184.702000000005,NA,45184.702000000005,NA,4355.415999999999,NA,4355.415999999999,NA,40829.28600000001,NA,40829.28600000001,NA,2111.50164,NA,2111.50164,NA,NA,NA,NA,NA,1169.1,NA,1169.1,NA,3280.602,NA,3280.602,NA,8.034923755463172,NA,8.034923755463172,NA,2390.486,NA,2390.486,NA,37874.389,NA,37874.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40829.28600000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40829.28600000001,NA
2012-2013,7,WEST BENGAL,HAORA,1578.328121571209,1568.4019797613505,NA,1571.4665232634948,18228,40813,NA,59041,70308.0,129349.0,5881.813,14162.148,NA,20043.961,NA,NA,NA,NA,NA,3476.8710000000005,NA,3476.8710000000005,NA,1689.8000000000002,NA,1689.8000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5881.813,19328.819000000003,NA,25210.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5881.813,19328.819000000003,NA,25210.632,588.182,1747.8270000000002,NA,2336.008,5293.630999999999,17580.992000000002,NA,22874.623000000003,NA,11626.60926,NA,11626.60926,NA,NA,NA,NA,NA,4970.0,NA,4970.0,NA,16596.610000000004,NA,16596.610000000004,NA,94.4008733978151,NA,72.55468210339467,NA,14108.463,NA,14108.463,5293.631,3941.161,NA,9234.792000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22874.623000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22874.623000000003,NA
2012-2013,8,WEST BENGAL,HUGLI,1432.9344008264463,1463.1068664073632,NA,1445.4200729868846,183920,129835,NA,313755,NA,313755.0,55122.639,40613.28399999999,NA,95735.92300000002,NA,NA,NA,NA,NA,1716.2200000000003,NA,1716.2200000000003,NA,18564.612,NA,18564.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55122.639,60894.115999999995,NA,116016.75499999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55122.639,60894.115999999995,NA,116016.75499999998,5512.264,5978.044999999999,NA,11490.310000000001,49610.375,54916.070999999996,NA,104526.446,NA,12319.111350000001,NA,12319.111350000001,NA,NA,NA,NA,NA,54601.8,NA,54601.8,NA,66920.912,NA,66920.912,NA,121.8603421209795,NA,64.0229478384829,NA,13773.538000000002,NA,13773.538000000002,49610.375,6336.494,NA,55946.869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104526.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104526.446,NA
2012-2013,9,WEST BENGAL,JALPAIGURI,NA,3665.0,NA,3665.0,NA,339631,NA,339631,NA,339631.0,NA,214697.73699999996,NA,214697.73699999996,NA,NA,NA,NA,NA,6806.201999999999,NA,6806.201999999999,NA,1369.962,NA,1369.962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222873.901,NA,222873.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222873.901,NA,222873.901,NA,22287.39,NA,22287.39,NA,200586.511,NA,200586.511,NA,5283.403469999999,NA,5283.403469999999,NA,NA,NA,NA,NA,4029.3,NA,4029.3,NA,9312.705,NA,9312.705,NA,4.6427374171735805,NA,4.6427374171735805,NA,6257.629,NA,6257.629,NA,190299.581,NA,190299.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200586.511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200586.511,NA
2012-2013,10,WEST BENGAL,KOCH BIHAR,NA,3414.0,NA,3414.0,NA,338843,NA,338843,NA,338843.0,NA,197189.68299999996,NA,197189.68299999996,NA,NA,NA,NA,NA,38.33,NA,38.33,NA,14368.909999999998,NA,14368.909999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211596.92499999996,NA,211596.92499999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211596.92499999996,NA,211596.92499999996,NA,21159.696000000004,NA,21159.696000000004,NA,190437.22900000002,NA,190437.22900000002,NA,6353.24475,NA,6353.24475,NA,NA,NA,NA,NA,42261.5,NA,42261.5,NA,48614.746,NA,48614.746,NA,25.527963337462754,NA,25.527963337462754,NA,7532.21,NA,7532.21,NA,140643.51799999998,NA,140643.51799999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190437.22900000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190437.22900000002,NA
2012-2013,11,WEST BENGAL,KOLKATA,NA,NA,NA,NA,NA,NA,NA,NA,87901.0,87901.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-2013,12,WEST BENGAL,MALDA,NA,1463.0397296805043,NA,1463.0397296805043,NA,367861,NA,367861,NA,367861.0,NA,83673.243,NA,83673.243,NA,NA,NA,NA,NA,402.99099999999993,NA,402.99099999999993,NA,20096.924000000003,NA,20096.924000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104173.15799999998,NA,104173.15799999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104173.15799999998,NA,104173.15799999998,NA,10417.314,NA,10417.314,NA,93755.844,NA,93755.844,NA,9132.04596,NA,9132.04596,NA,NA,NA,NA,NA,59108.600000000006,NA,59108.600000000006,NA,68240.64499999999,NA,68240.64499999999,NA,72.78548417739165,NA,72.78548417739165,NA,11737.807,NA,11737.807,NA,27342.418000000005,NA,27342.418000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93755.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93755.844,NA
2012-2013,13,WEST BENGAL,MURSHIDABAD,1381.5047894744603,1377.6228719779524,NA,1379.0989006060402,203467,331646,NA,535113,NA,535113.0,65793.526,112595.57299999999,NA,178389.099,NA,NA,NA,NA,NA,944.3749999999999,NA,944.3749999999999,NA,63303.579999999994,NA,63303.579999999994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65793.526,176843.52800000002,NA,242637.05400000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65793.526,176843.52800000002,NA,242637.05400000003,6579.352,17061.151000000005,NA,23640.502,59214.174,159782.37699999998,NA,218996.55100000004,NA,16209.784319999999,NA,16209.784319999999,NA,NA,NA,NA,NA,186187.00000000003,NA,186187.00000000003,NA,202396.784,NA,202396.784,NA,126.67027978936629,NA,92.42007834178173,NA,19513.636000000002,NA,19513.636000000002,59214.174,6281.588,NA,65495.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218996.55099999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218996.55099999998,NA
2012-2013,14,WEST BENGAL,NADIA,NA,1316.109993332201,NA,1316.109993332201,NA,394433,NA,394433,NA,394433.0,NA,120874.48000000001,NA,120874.48000000001,NA,NA,NA,NA,NA,799.532,NA,799.532,NA,60935.54800000001,NA,60935.54800000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182609.56100000002,NA,182609.56100000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182609.56100000002,NA,182609.56100000002,NA,18260.954999999998,NA,18260.954999999998,NA,164348.606,NA,164348.606,NA,11596.07409,NA,11596.07409,NA,NA,NA,NA,NA,179222.2,NA,179222.2,NA,190818.27499999997,NA,190818.27499999997,NA,116.10580682381935,NA,116.10580682381935,NA,13502.618,NA,13502.618,NA,4877.551,NA,4877.551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164348.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164348.606,NA
2012-2013,15,WEST BENGAL,NORTH 24 PARGANAS,NA,1110.9694531422492,NA,1110.9694531422492,NA,398568,NA,398568,NA,398568.0,NA,101456.154,NA,101456.154,NA,NA,NA,NA,NA,685.2669999999999,NA,685.2669999999999,NA,28738.363999999994,NA,28738.363999999994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130879.78600000001,NA,130879.78600000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130879.78600000001,NA,130879.78600000001,NA,13066.215999999997,NA,13066.215999999997,NA,117813.57,NA,117813.57,NA,22649.382959999995,NA,22649.382959999995,NA,NA,NA,NA,NA,84524.59999999999,NA,84524.59999999999,NA,107173.98100000001,NA,107173.98100000001,NA,90.96913114507947,NA,90.96913114507947,NA,26556.617000000006,NA,26556.617000000006,NA,14703.293000000001,NA,14703.293000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117813.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117813.57,NA
2012-2013,16,WEST BENGAL,PASCHIM MEDINIPUR,1513.4057977267285,1569.4386668563434,NA,1541.6445559196095,463561,470977,NA,934538,NA,934538.0,118102.73899999999,145571.13300000003,NA,263673.87299999996,NA,NA,NA,NA,NA,5603.830000000001,NA,5603.830000000001,NA,37712.664,NA,37712.664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118102.73899999999,188887.62699999998,NA,306990.36600000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118102.73899999999,188887.62699999998,NA,306990.36600000004,11810.276000000002,18353.537,NA,30163.812000000005,106292.46300000002,170534.09,NA,276826.55299999996,NA,13449.806159999998,NA,13449.806159999998,NA,NA,NA,NA,NA,110919.6,NA,110919.6,NA,124369.40799999998,NA,124369.40799999998,NA,72.92935271768827,NA,44.926834746231876,NA,15048.109000000004,NA,15048.109000000004,106292.46300000002,69228.60100000001,NA,175521.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276826.55299999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276826.55299999996,NA
2012-2013,17,WEST BENGAL,PURBA MEDINIPUR,1618.0,1617.4972128952247,NA,1617.5437168120402,15450,151591,NA,167041,228991.0,396032.0,5112.232,50451.681,NA,55563.913,NA,NA,NA,NA,NA,2037.778,NA,2037.778,NA,7331.215999999999,NA,7331.215999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5112.232,59820.67500000001,NA,64932.907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5112.232,59820.67500000001,NA,64932.907,511.223,5868.536999999999,NA,6379.76,4601.009,53952.13800000001,NA,58553.14700000001,NA,11439.835110000004,NA,11439.835110000004,NA,NA,NA,NA,NA,21562.4,NA,21562.4,NA,33002.234,NA,33002.234,NA,61.16946468367943,NA,56.362869787340365,NA,12236.251,NA,12236.251,4601.009,27078.761000000002,NA,31679.770000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58553.147000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58553.147000000004,NA
2012-2013,18,WEST BENGAL,PURULIYA,NA,1361.1751726420582,NA,1361.1751726420582,NA,622386,NA,622386,NA,622386.0,NA,51731.03,NA,51731.03,NA,NA,NA,NA,NA,32046.087000000003,NA,32046.087000000003,NA,758.9600000000002,NA,758.9600000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84536.077,NA,84536.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84536.077,NA,84536.077,NA,8181.307,NA,8181.307,NA,76354.77000000002,NA,76354.77000000002,NA,6610.125179999999,NA,6610.125179999999,NA,NA,NA,NA,NA,2232.8,NA,2232.8,NA,8842.926,NA,8842.926,NA,11.581366822269255,NA,11.581366822269255,NA,7972.2880000000005,NA,7972.2880000000005,NA,66149.683,NA,66149.683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76354.77000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76354.77000000002,NA
2012-2013,19,WEST BENGAL,SOUTH 24 PARGANAS,NA,1595.0,NA,1595.0,NA,15362,NA,15362,988452.4952,1003814.4952,NA,5688.164,NA,5688.164,NA,NA,NA,NA,NA,11300.880000000001,NA,11300.880000000001,NA,3776.528,NA,3776.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20765.572,NA,20765.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20765.572,NA,20765.572,NA,1546.332,NA,1546.332,NA,19219.24,NA,19219.24,NA,537.6340499999999,NA,537.6340499999999,NA,NA,NA,NA,NA,11110.400000000001,NA,11110.400000000001,NA,11648.034,NA,11648.034,NA,60.60611137589207,NA,60.60611137589207,NA,630.381,NA,630.381,NA,10840.124999999998,NA,10840.124999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19219.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19219.24,NA
2012-2013,20,WEST BENGAL,UTTAR DINAJPUR,NA,2036.5987278503942,NA,2036.5987278503942,NA,311913,NA,311913,NA,311913.0,NA,104517.60500000001,NA,104517.60500000001,NA,NA,NA,NA,NA,189.904,NA,189.904,NA,24306.327999999998,NA,24306.327999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129013.83699999998,NA,129013.83699999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129013.83699999998,NA,129013.83699999998,NA,12901.385999999999,NA,12901.385999999999,NA,116112.451,NA,116112.451,NA,6873.242729999999,NA,6873.242729999999,NA,NA,NA,NA,NA,71489.2,NA,71489.2,NA,78362.44200000001,NA,78362.44200000001,NA,67.48840570078055,NA,67.48840570078055,NA,8962.828,NA,8962.828,NA,38265.05,NA,38265.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116112.451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116112.451,NA
NA,Total,NA,NA,1404.0327869425103,1852.4326774202575,NA,1728.6090599751765,2003938,5252881,NA,7256819,1648069.4699,8904888.4699,504952.81700000004,1658192.928,NA,2163145.7460000003,NA,NA,NA,NA,NA,166218.88400000005,NA,166218.88400000005,NA,367573.232,NA,367573.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504952.81700000004,2191985.048,NA,2696937.8650000007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504952.81700000004,2191985.048,NA,2696937.8650000007,49732.00200000001,212329.28799999997,NA,262061.287,455220.815,1979655.7600000002,NA,2434876.575,NA,175083.13722,NA,175083.13722,NA,NA,NA,NA,NA,1088887.2,NA,1070716.9000000001,NA,1245800.0389999999,NA,1245800.0389999999,NA,62.93013483313885,NA,51.16481269692284,NA,204019.258,NA,204019.258,455220.815,924334.5010000002,NA,1379555.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2434876.5749999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2434876.5749999997,NA
