Year,S.No,STATE,DISTRICT,AER_Tot
2024-25,273,KARNATAKA,Mysuru,66020.4
2024-25,274,KARNATAKA,Raichur,78483.52
2024-25,275,KARNATAKA,Shivamogga,98115.07
2024-25,276,KARNATAKA,Tumakuru,76499.82
2024-25,277,KARNATAKA,Udupi,49289.94
2024-25,278,KARNATAKA,Uttara Kannada,83772.07
2024-25,279,KARNATAKA,Vijayanagara,39803.68
2024-25,280,KARNATAKA,Vijayapura,95306.7
2024-25,281,KARNATAKA,Yadgir,53977.25
2024-25,282,KERALA,ALAPPUZHA,35712.59
2024-25,283,KERALA,ERNAKULAM,37094.21
2024-25,284,KERALA,IDUKKI,20506
2024-25,285,KERALA,KANNUR,35569.11
2024-25,286,KERALA,KASARGOD,30694.42
2024-25,287,KERALA,KOLLAM,29175.76
2024-25,288,KERALA,KOTTAYAM,36415.1
2024-25,289,KERALA,KOZHIKKODE,29234.83
2024-25,290,KERALA,MALAPPURAM,39149.78
2024-25,291,KERALA,PALAKKAD,50330.1
2024-25,292,KERALA,PATHANAMTHITTA,19719.25
2024-25,293,KERALA,THIRUVANANTHAPURAM,24449.15
2024-25,294,KERALA,THRISSUR,55228.54
2024-25,295,KERALA,WAYANAD,21268.04
2024-25,296,LADAKH,KARGIL,1404.78
2024-25,297,LADAKH,LEH,4662.92
2024-25,298,LAKSHDWEEP,AMINI,127.5
2024-25,299,LAKSHDWEEP,ANDROTH,161.91
2024-25,300,LAKSHDWEEP,KAVARATTI,136.17
2024-25,301,LAKSHDWEEP,KILTAN,58.22
2024-25,302,LAKSHDWEEP,MINICOY,99.09
2024-25,303,MAHARASHTRA,Ahmednagar,
2024-25,304,MAHARASHTRA,Akola,42471.56235
2024-25,305,MAHARASHTRA,Amravati,
2024-25,306,MAHARASHTRA,Aurangabad,
2024-25,307,MAHARASHTRA,Beed,124528.99
2024-25,308,MAHARASHTRA,Bhandara,87058.5921
2024-25,309,MAHARASHTRA,Buldhana,
2024-25,310,MAHARASHTRA,Chandrapur,
2024-25,311,MAHARASHTRA,Dhule,73977.56
2024-25,312,MAHARASHTRA,Gadchiroli,103086.6209
2024-25,313,MAHARASHTRA,Gondia,62122.83
2024-25,314,MAHARASHTRA,Hingoli,97987.61
2024-25,315,MAHARASHTRA,Jalgaon,136342.26
2024-25,316,MAHARASHTRA,Jalna,92832.23
2024-25,317,MAHARASHTRA,Kolhapur,127744.85
2024-25,318,MAHARASHTRA,Latur,70096.25
2024-25,319,MAHARASHTRA,Mumbai,1477.65
2024-25,320,MAHARASHTRA,Mumbai Sub,7263.56
2024-25,321,MAHARASHTRA,Nagpur,120395.7338
2024-25,322,MAHARASHTRA,Nanded,118656.72
2024-25,323,MAHARASHTRA,Nandurbar,48959.18559
2024-25,324,MAHARASHTRA,Nashik,189835.66
2024-25,325,MAHARASHTRA,Osmanabad,
2024-25,326,MAHARASHTRA,Palghar,21066.02
2024-25,327,MAHARASHTRA,Parbhani,82219.01
2024-25,328,MAHARASHTRA,Pune,185935.9674
2024-25,329,MAHARASHTRA,Raigad,35173.03
2024-25,330,MAHARASHTRA,Ratnagiri,39046.48
2024-25,331,MAHARASHTRA,Sangli,146636.2931
2024-25,332,MAHARASHTRA,Satara,113514.24
2024-25,333,MAHARASHTRA,Sindhudurg,22292.25
2024-25,334,MAHARASHTRA,Solapur,140354.46
2024-25,335,MAHARASHTRA,Thane,16322.56
2024-25,336,MAHARASHTRA,Wardha,89744.48
2024-25,337,MAHARASHTRA,Washim,61040.42
2024-25,338,MAHARASHTRA,Yawatmal,119403.43
2024-25,339,MANIPUR,BISHNUPUR,8714.26
2024-25,340,MANIPUR,CHANDEL,0
2024-25,341,MANIPUR,CHURACHANPUR,5979.12
2024-25,342,MANIPUR,IMPHAL EAST,11418.85
2024-25,343,MANIPUR,IMPHAL WEST,7870.7
2024-25,344,MANIPUR,SENAPATI,0
2024-25,345,MANIPUR,TAMENGLONG,0
2024-25,346,MANIPUR,THOUBAL,5773.32
2024-25,347,MANIPUR,UKHRUL,0
2024-25,348,MEGHALAYA,EAST GARO HILLS,7643.46
2024-25,349,MEGHALAYA,EAST JAINTIA HILLS,15116.31
2024-25,350,MEGHALAYA,EAST KHASI HILLS,19635.67
2024-25,351,MEGHALAYA,NORTH GARO HILLS,7743.68
2024-25,352,MEGHALAYA,RI BHOI,5835.34
2024-25,353,MEGHALAYA,SOUTH GARO HILLS,21126.28
2024-25,354,MEGHALAYA,SOUTH WEST GARO HILLS,3875.98
2024-25,355,MEGHALAYA,SOUTH WEST KHASI HILLS,12899.8
2024-25,356,MEGHALAYA,WEST GARO HILLS,19046.95
2024-25,357,MEGHALAYA,WEST JAINTIA HILLS,10047.12
2024-25,358,MEGHALAYA,WEST KHASI HILLS,30568.85
2024-25,359,MIZORAM,AIZAWL,1370.81
2024-25,360,MIZORAM,CHAMPHAI,1423.64
2024-25,361,MIZORAM,KOLASIB,2498.83
2024-25,362,MIZORAM,LAWNGTLAI,3039.64
2024-25,363,MIZORAM,LUNGLEI,4447.04
2024-25,364,MIZORAM,MAMIT,4658.72
2024-25,365,MIZORAM,SAIHA,695.46
2024-25,366,MIZORAM,SERCHHIP,820.47
2024-25,367,NAGALAND,Dimapur,20998.07
2024-25,368,NAGALAND,Kiphire,522.15
2024-25,369,NAGALAND,Kohima,2773.3
2024-25,370,NAGALAND,Longleng,1389.8
2024-25,371,NAGALAND,Mokokchung,5620.3
2024-25,372,NAGALAND,Mon,3987.36
2024-25,373,NAGALAND,Peren,4053.17
2024-25,374,NAGALAND,Phek,1063.27
2024-25,375,NAGALAND,Tuensang,1308.25
2024-25,376,NAGALAND,Wokha,6870.44
2024-25,377,NAGALAND,Zunheboto,1706.45
2024-25,378,PUDUCHERRY,KARAIKAL,3981.6
2024-25,379,PUDUCHERRY,PUDUCHERRY,13458.02
2024-25,380,PUNJAB,Amritsar,124711.65
2024-25,381,PUNJAB,Barnala,48893.01
2024-25,382,PUNJAB,Bathinda,136140.41
2024-25,383,PUNJAB,Faridkot,73807.64
2024-25,384,PUNJAB,Fatehgarh Sahib,35756.99
2024-25,385,PUNJAB,Fazilka,114601.43
2024-25,386,PUNJAB,Firozpur,149516.88
2024-25,387,PUNJAB,Gurdaspur,136765.79
2024-25,388,PUNJAB,Hoshiarpur,80412.83
2024-25,389,PUNJAB,Jalandhar,86196.69
2024-25,390,PUNJAB,Kapurthala,56633.74
2024-25,391,PUNJAB,Ludhiana,123365.4
2024-25,392,PUNJAB,Malerkotla,19433.77
2024-25,393,PUNJAB,Mansa,108702.67
2024-25,394,PUNJAB,Moga,70205.36
2024-25,395,PUNJAB,Muktsar,151033.06
2024-25,396,PUNJAB,Pathankot,43294.2
2024-25,397,PUNJAB,Patiala,91440.82
2024-25,398,PUNJAB,Rupnagar,39343.06
2024-25,399,PUNJAB,SAS Nagar,20385.37
2024-25,400,PUNJAB,SBS Nagar,49633.83
2024-25,401,PUNJAB,Sangrur,63227.66
2024-25,402,PUNJAB,Tarn Taran,65592.76
2024-25,403,RAJASTHAN,AJMER,33580.91
2024-25,404,RAJASTHAN,ALWAR,74449.62
2024-25,405,RAJASTHAN,BANSWARA,20902.62
2024-25,406,RAJASTHAN,BARAN,58400.26
2024-25,407,RAJASTHAN,BARMER,62572.43
2024-25,408,RAJASTHAN,BHARATPUR,49971.38
2024-25,409,RAJASTHAN,BHILWARA,40782.47
2024-25,410,RAJASTHAN,BIKANER,56477.94
2024-25,411,RAJASTHAN,BUNDI,32730.29
2024-25,412,RAJASTHAN,CHITTAURGARH,31318.37
2024-25,413,RAJASTHAN,CHURU,20478.99
2024-25,414,RAJASTHAN,DAUSA,25184.08
2024-25,415,RAJASTHAN,DHAULPUR,25806.56
2024-25,416,RAJASTHAN,DUNGARPUR,20426.97
2024-25,417,RAJASTHAN,GANGANAGAR,135615.63
2024-25,418,RAJASTHAN,HANUMANGARH,88422.92
2024-25,419,RAJASTHAN,JAIPUR,72772.12
2024-25,420,RAJASTHAN,JAISALMER,49423.14
2024-25,421,RAJASTHAN,JALOR,54997
2024-25,422,RAJASTHAN,JHALAWAR,53536.01
2024-25,423,RAJASTHAN,JHUNJHUNU,22868.22
2024-25,424,RAJASTHAN,JODHPUR,46894.05
2024-25,425,RAJASTHAN,KARAULI,32693
2024-25,426,RAJASTHAN,KOTA,47218.69
2024-25,427,RAJASTHAN,NAGAUR,64206.5
2024-25,428,RAJASTHAN,PALI,42855.85
2024-25,429,RAJASTHAN,PRATAPGARH,21103.49
2024-25,430,RAJASTHAN,RAJSAMAND,11259.85
2024-25,431,RAJASTHAN,SAWAI MADHOPUR,41732.38
2024-25,432,RAJASTHAN,SIKAR,35246.25
2024-25,433,RAJASTHAN,SIROHI,27912.11
2024-25,434,RAJASTHAN,TONK,44994.37
2024-25,435,RAJASTHAN,UDAIPUR,29950.69
2024-25,436,SIKKIM,Gangtok,6134.97
2024-25,437,SIKKIM,Gyalsingh,3412.42
2024-25,438,SIKKIM,Mangan,3344.94
2024-25,439,SIKKIM,Namchi,3191.38
2024-25,440,SIKKIM,Pakyong,4520.53
2024-25,441,SIKKIM,Soreng,1143.87
2024-25,442,TAMILNADU,ARIYALUR,37340.9
2024-25,443,TAMILNADU,CHENGALPATTU,62796.88
2024-25,444,TAMILNADU,CHENNAI,8917.3
2024-25,445,TAMILNADU,COIMBATORE,56226.01
2024-25,446,TAMILNADU,CUDDALORE,107819.01
2024-25,447,TAMILNADU,DHARMAPURI,47720.77
2024-25,448,TAMILNADU,DINDIGUL,53634.62
2024-25,449,TAMILNADU,ERODE,85566.15
2024-25,450,TAMILNADU,KALLAKURICHCHI,58831.49
2024-25,451,TAMILNADU,KANCHEEPURAM,53561.52
2024-25,452,TAMILNADU,KANNIYAKUMARI,33881.67
2024-25,453,TAMILNADU,KARUR,29409.51
2024-25,454,TAMILNADU,KRISHNAGIRI,51168.22
2024-25,455,TAMILNADU,MADURAI,70783.58
2024-25,456,TAMILNADU,MAYILADUTHURAI,18873.3
2024-25,457,TAMILNADU,NAGAPATTINAM,73808.94
2024-25,458,TAMILNADU,NAMAKKAL,52525.37
2024-25,459,TAMILNADU,PERAMBALUR,25995.4
2024-25,460,TAMILNADU,PUDUKKOTTAI,104527.59
2024-25,461,TAMILNADU,RAMANATHAPURAM,74179.34
2024-25,462,TAMILNADU,RANIPET,30121.8
2024-25,463,TAMILNADU,SALEM,47530.82
2024-25,464,TAMILNADU,SIVAGANGAI,70428.15
2024-25,465,TAMILNADU,TENKASI,53665.79
2024-25,466,TAMILNADU,THANJAVUR,117124.69
2024-25,467,TAMILNADU,THE NILGIRIS,7165.96
2024-25,468,TAMILNADU,THENI,26976.5
2024-25,469,TAMILNADU,THIRUVARUR,121816.64
2024-25,470,TAMILNADU,THOOTHUKUDI,77567.54
2024-25,471,TAMILNADU,TIRUCHIRAPPALLI,64005.87
2024-25,472,TAMILNADU,TIRUNELVELI,80605.68
2024-25,473,TAMILNADU,TIRUPATHUR,9712.9
2024-25,474,TAMILNADU,TIRUPPUR,68671.47
2024-25,475,TAMILNADU,TIRUVALLUR,76473.75
2024-25,476,TAMILNADU,TIRUVANNAMALAI,124818.39
2024-25,477,TAMILNADU,VELLORE,18174.31
2024-25,478,TAMILNADU,VILLUPURAM,96724.96
2024-25,479,TAMILNADU,VIRUDHUNAGAR,68431.54
2024-25,480,TELANGANA,Adilabad,51020.35
2024-25,481,TELANGANA,Bhadradri Kothagudem,101107.48
2024-25,482,TELANGANA,Hanumakonda,48180.65
2024-25,483,TELANGANA,Hyderabad,6165.55
2024-25,484,TELANGANA,Jagtial,70054.71
2024-25,485,TELANGANA,Jangaon,28686.15
2024-25,486,TELANGANA,Jayashankar Bhupalapally,47212.31
2024-25,487,TELANGANA,Jogulamba Gadwal,44338.54
2024-25,488,TELANGANA,Kamareddy,65195.21
2024-25,489,TELANGANA,Karimnagar,84651.12
2024-25,490,TELANGANA,Khammam,106946.61
2024-25,491,TELANGANA,Komarambheem Asifabad,56791.34
2024-25,492,TELANGANA,Mahabubabad,64250.08
2024-25,493,TELANGANA,Mahabubnagar,33058.38
2024-25,494,TELANGANA,Mancherial,88258.31
2024-25,495,TELANGANA,Medak,49497.25
2024-25,496,TELANGANA,Medchal Malkajgiri,9736.91
2024-25,497,TELANGANA,Mulug,54650.14
2024-25,498,TELANGANA,Nagarkurnool,87476.46
2024-25,499,TELANGANA,Nalgonda,128247.44
2024-25,500,TELANGANA,Narayanpet,30535.49
2024-25,501,TELANGANA,Nirmal,68160.8
2024-25,502,TELANGANA,Nizamabad,92714.62
2024-25,503,TELANGANA,Peddapalle,47233.35
2024-25,504,TELANGANA,Rajanna Siricilla,41408.46
2024-25,505,TELANGANA,Rangareddy,50532.72
2024-25,506,TELANGANA,Sangareddy,35537.97
2024-25,507,TELANGANA,Siddipet,49695.51
2024-25,508,TELANGANA,Suryapet,103271.29
2024-25,509,TELANGANA,Vikarabad,32751
2024-25,510,TELANGANA,Wanaparthy,64149.3
2024-25,511,TELANGANA,Warangal,50602.5
2024-25,512,TELANGANA,Yadadri Bhuvanagiri,69137.42
2024-25,513,TRIPURA,DHALAI,18379.79
2024-25,514,TRIPURA,GOMATI,22197.08
2024-25,515,TRIPURA,KHOWAI,11160.92
2024-25,516,TRIPURA,NORTH TRIPURA,9047.45
2024-25,517,TRIPURA,SEPAHIJALA,17980.61
2024-25,518,TRIPURA,SOUTH TRIPURA,22036.47
2024-25,519,TRIPURA,UNAKOTI,8224.49
2024-25,520,TRIPURA,WEST TRIPURA,15144.27
2024-25,521,UTTARAKHAND,DEHRADUN,51009.32
2024-25,522,UTTARAKHAND,HARIDWAR,43422.85
2024-25,523,UTTARAKHAND,NAINITAL,26011.24
2024-25,524,UTTARAKHAND,UDHAMSINGH NAGAR,74756.36
2024-25,525,WEST BENGAL,ALIPURDUAR,116176.02
2024-25,526,WEST BENGAL,BANKURA,147036.71
2024-25,527,WEST BENGAL,BIRBHUM,103093.92
2024-25,528,WEST BENGAL,DAKSHIN DINAJPUR,102169.85
2024-25,529,WEST BENGAL,DARJILING,38126.81
2024-25,530,WEST BENGAL,HAORA,21190.22
2024-25,531,WEST BENGAL,HUGLI,116406.48
2024-25,532,WEST BENGAL,JALPAIGURI,169540.51
2024-25,533,WEST BENGAL,JHARGRAM,94154.4
2024-25,534,WEST BENGAL,KALIMPONG,3604.32
2024-25,535,WEST BENGAL,KOCH BIHAR,186481.62
2024-25,536,WEST BENGAL,KOLKATTA,0
2024-25,537,WEST BENGAL,MALDA,106801.68
2024-25,538,WEST BENGAL,MURSHIDABAD,180969.09
2024-25,539,WEST BENGAL,NADIA,176494.48
2024-25,540,WEST BENGAL,NORTH 24 PARGANAS,138984.52
2024-25,541,WEST BENGAL,PASCHIM BARDDHAMAN,21955.99
2024-25,542,WEST BENGAL,PASCHIM MEDINIPUR,218332.66
2024-25,543,WEST BENGAL,PURBA BARDDHAMAN,183612.2
2024-25,544,WEST BENGAL,PURBA MEDINIPUR,60362.23
2024-25,545,WEST BENGAL,PURULIYA,53142.82
2024-25,546,WEST BENGAL,SOUTH 24 PARGANAS,0
2024-25,547,WEST BENGAL,UTTAR DINAJPUR,111021.08
2024-25,,,,27846197.68
