Year,S.No,STATE,DISTRICT,AER_C,AER_C_NC,AER_PQ,AER_Tot,GWE_DOM_C,GWE_DOM_C_NC,GWE_DOM_PQ,GWE_DOM_Tot,GWE_IND_C,GWE_IND_C_NC,GWE_IND_PQ,GWE_IND_Tot,GWE_IRR_C,GWE_IRR_C_NC,GWE_IRR_PQ,GWE_IRR_Tot,EGWE
2024-25,131,DELHI,SOUTH EAST,0,2397.71,0,2397.71,,1883.037302,,1883.037302,,12.74,,12.74,,220.1652,,220.1652,2115.942502
2024-25,132,DELHI,SOUTH WEST,0,6641.81,0,6641.81,,1906.7235,,1906.7235,,0,,0,,3981.46,,3981.46,5888.1835
2024-25,133,DELHI,WEST,0,3535,0,3535,,2538.545402,,2538.545402,,0.6,,0.6,,731.977,,731.977,3271.122402
2024-25,134,GOA,GOA NORTH,3060.48,10135.87,0,13196.35,288.3512228,1535.606538,,1823.957761,21.3077,84.241,,105.5487,194.67,1480.68,,1675.35,3604.856461
2024-25,135,GOA,SOUTH GOA,2232.42,15072.57,0,17304.99,203.234336,1995.41861,,2198.652946,31.75431,343.68323,,375.43754,73.17,853.2,,926.37,3500.460486
2024-25,136,GUJARAT,AHMEDABAD,42258.26,0,472109.66,514367.92,6896.910321,,2148.199589,9045.10991,3489.56584,,0,3489.56584,24586.2,,42485.4,67071.6,79606.27575
2024-25,137,GUJARAT,AMRELI,144664.55,0,1748.42,146412.97,1216.97954,,37.41666197,1254.396202,73.64643,,0,73.64643,81614.4,,1359.4,82973.8,84301.84263
2024-25,138,GUJARAT,ANAND,110794.74,0,15518.21,126312.95,3626.22869,,518.8754292,4145.104119,2623.69568,,0,2623.69568,26367.9,,4260.4,30628.3,37397.0998
2024-25,139,GUJARAT,ARVALLI,86429.06,0,0,86429.06,2089.119963,,,2089.119963,25.051775,,,25.051775,35907.6,,,35907.6,38021.77174
2024-25,140,GUJARAT,BANASKANTHA,118909.66,0,57014.14,175923.8,4343.006993,,866.9237417,5209.930735,41.79299,,0,41.79299,140057.2,,44688.15,184745.35,189997.0737
2024-25,141,GUJARAT,BHARUCH,63557.66,0,24637.27,88194.93,1857.286425,,626.2959274,2483.582353,1339.772865,,0,1339.772865,14124.7,,3579,17703.7,21527.05522
2024-25,142,GUJARAT,BHAVNAGAR,106253.72,0,13772.22,120025.94,3237.45063,,726.2222803,3963.67291,79.120035,,0,79.120035,44384.8,,5177.2,49562,53604.79295
2024-25,143,GUJARAT,BOTAD,43035.49,0,6615.71,49651.2,919.7673019,,113.6231585,1033.39046,16.58125,,0,16.58125,23708.1,,3905.2,27613.3,28663.27171
2024-25,144,GUJARAT,CHHOTA UDEPUR,56983.89,0,0,56983.89,2264.803198,,,2264.803198,1.1315,,,1.1315,23578.4,,,23578.4,25844.3347
2024-25,145,GUJARAT,DAHOD,34036.87,0,0,34036.87,2360.333076,,,2360.333076,3.3065,,,3.3065,11500.8,,,11500.8,13864.43958
2024-25,146,GUJARAT,DANG,31191.34,0,0,31191.34,502.8530033,,,502.8530033,1.2775,,,1.2775,3451.7,,,3451.7,3955.830503
2024-25,147,GUJARAT,DEVBHUMI DWARKA,43593.3,0,5026.28,48619.58,1600.119325,,100.3591156,1700.478441,100.281703,,0,100.281703,28955.7,,2957.7,31913.4,33714.16014
2024-25,148,GUJARAT,GANDHINAGAR,57791.12,0,1603.13,59394.25,1365,,,1365,926.1433,,,926.1433,62018,,,62018,64309.1433
2024-25,149,GUJARAT,GIR SOMNATH,70296.46,0,4291.02,74587.48,3032.202891,,28.89139707,3061.094288,77.0004,,0,77.0004,31369.5,,1458,32827.5,35965.59469
2024-25,150,GUJARAT,JAMNAGAR,130650.96,0,5255.16,135906.12,2453.553332,,95.68954332,2549.242875,46.4186,,0,46.4186,54491.6,,4340.4,58832,61427.66147
2024-25,151,GUJARAT,JUNAGADH,150807.86,0,9953.88,160761.74,3197.183617,,135.978083,3333.1617,79.28375,,0,79.28375,68228.65,,5580.3,73808.95,77221.39545
2024-25,152,GUJARAT,KACHCHH,89915.86,0,103040.13,192955.99,1107.091679,,2491.860282,3598.951961,1076.962405,,0,1076.962405,44383.5,,69418.9,113802.4,118478.3144
2024-25,153,GUJARAT,KHEDA,79362.14,0,9934.34,89296.48,2919.857817,,348.4246021,3268.282419,631.14988,,0,631.14988,29308.7,,7220.5,36529.2,40428.6323
2024-25,154,GUJARAT,MAHESANA,74550.7,0,185619.71,260170.41,1463.8468,,481.3060909,1945.152891,942.022601,,0,942.022601,78663.2,,32840.9,111504.1,114391.2755
2024-25,155,GUJARAT,MAHISAGAR,30719.91,0,0,30719.91,917.7063179,,,917.7063179,12.68302,,,12.68302,14594,,,14594,15524.38934
2024-25,156,GUJARAT,MORBI,67620.3,0,14429.58,82049.88,1488.010224,,179.7992192,1667.809444,192.058045,,0,192.058045,33312,,6288.9,39600.9,41460.76749
2024-25,157,GUJARAT,NARMADA,38657.36,0,0,38657.36,552.6741975,,,552.6741975,5.402,,,5.402,25284.1,,,25284.1,25842.1762
2024-25,158,GUJARAT,NAVSARI,77165.39,0,97.06,77262.45,2711.807334,,,2711.807334,275.876218,,,275.876218,21009.6,,,21009.6,23997.28355
2024-25,159,GUJARAT,PANCHMAHAL,54298.11,0,0,54298.11,1563.741613,,,1563.741613,374.51346,,,374.51346,12748.3,,,12748.3,14686.55507
2024-25,160,GUJARAT,PATAN,37610.31,0,66193.13,103803.44,938.1960948,,543.458138,1481.654233,29.1494,,0,29.1494,43628.575,,25978.925,69607.5,71118.30363
2024-25,161,GUJARAT,PORBANDAR,21446.52,0,14194.34,35640.86,527.1731371,,367.1048309,894.277968,221.740055,,0,221.740055,11376.1,,8307.1,19683.2,20799.21802
2024-25,162,GUJARAT,RAJKOT,169025.48,0,0,169025.48,2596.28051,,0,2596.28051,519.887935,,0,519.887935,108251.1,,1675.6,109926.7,113042.8684
2024-25,163,GUJARAT,RANA AND KUTCH,0,0,0,0,,,,0,,,,,,,,,0
2024-25,164,GUJARAT,SABARKANTHA,76631.54,0,0,76631.54,2083.815012,,,2083.815012,271.52165,,,271.52165,55362.62,,,55362.62,57717.95666
2024-25,165,GUJARAT,SURAT,134748.37,0,8986.3,143734.67,19560.11875,,176.1804239,19736.29917,3077.680954,,0,3077.680954,34099.9,,2177.6,36277.5,59091.48013
2024-25,166,GUJARAT,SURENDRANAGAR,75679.81,0,141754.52,217434.33,1292.529176,,1567.889868,2860.419043,116.45847,,0,116.45847,37760.6,,23769.6,61530.2,64507.07751
2024-25,167,GUJARAT,TAPI,71235.27,0,0,71235.27,509.9787808,,,509.9787808,61.225255,,,61.225255,25850.3,,,25850.3,26421.50404
2024-25,168,GUJARAT,VADODARA,101350.31,0,18694.57,120044.88,6680.572269,,,6680.572269,2380.73818,,,2380.73818,58365,,,58365,67426.31045
2024-25,169,GUJARAT,VALSAD,69397.12,0,10.05,69407.17,4441.559236,,,4441.559236,717.884941,,,717.884941,16558.1,,,16558.1,21717.54418
2024-25,170,HARYANA,AMBALA,38743.1,0,0,38743.1,7008.68,,,7008.68,7575,,,7575,35843.79,,,35843.79,50427.47
2024-25,171,HARYANA,BHIWANI,39084.92,0,0,39084.92,2047.6,,0,2047.6,1993.2,,0,1993.2,39303.23,,14219.4,53522.63,57563.43
2024-25,172,HARYANA,CHARKHI DADRI,17419.14,0,0,17419.14,1253.5,,0,1253.5,28,,0,28,23033.78,,1868.13,24901.91,26183.41
2024-25,173,HARYANA,FARIDABAD,13642.38,0,0,13642.38,4449.75,,0,4449.75,5160,,0,5160,14315.625,,998.4,15314.025,24923.775
2024-25,174,HARYANA,FATEHABAD,59223.82,0,0,59223.82,2002.14,,0,2002.14,98.2,,0,98.2,103258.338,,0,103258.338,105358.678
2024-25,175,HARYANA,GURGAON,22591.43,0,0,22591.43,5191.761,,0,5191.761,17142.51,,0,17142.51,21627.7,,0,21627.7,43961.971
2024-25,176,HARYANA,HISAR,66085.71,0,0,66085.71,366.2,,0,366.2,230.22,,0,230.22,47455.68,,3617.25,51072.93,51669.35
2024-25,177,HARYANA,JHAJJAR,45688.38,0,0,45688.38,450.63,,0,450.63,115,,0,115,22095.52,,702,22797.52,23363.15
2024-25,178,HARYANA,JIND,68244.35,0,0,68244.35,1474.8,,0,1474.8,810.308,,0,810.308,77049.02,,10799.68,87848.7,90133.808
2024-25,179,HARYANA,KAITHAL,41841.37,0,0,41841.37,3400.892,,0,3400.892,633.75,,0,633.75,78374.455,,0,78374.455,82409.097
2024-25,180,HARYANA,KARNAL,105936.46,0,0,105936.46,8227.47,,0,8227.47,3292.4,,0,3292.4,172316.9585,,0,172316.9585,183836.8285
2024-25,181,HARYANA,KURUKSHETRA,37850.67,0,0,37850.67,4220,,,4220,12575.88,,,12575.88,68570.885,,,68570.885,85366.765
2024-25,182,HARYANA,MAHENDRAGARH,19806.38,0,0,19806.38,4977.12,,0,4977.12,31.08,,0,31.08,26058.84,,0,26058.84,31067.04
2024-25,183,HARYANA,MEWAT,17417.06,0,0,17417.06,2078.98,,0,2078.98,23.53,,0,23.53,10492.3187,,3714.96,14207.2787,16309.7887
2024-25,184,HARYANA,PALWAL,40387.35,0,0,40387.35,2282.83,,0,2282.83,732.5,,0,732.5,34136.58,,0,34136.58,37151.91
2024-25,185,HARYANA,PANCHKULA,13446,0,0,13446,1143.18,,,1143.18,90,,,90,7111.49,,,7111.49,8344.67
2024-25,186,HARYANA,PANIPAT,47360.25,0,0,47360.25,2501.18,,0,2501.18,2016,,0,2016,98651.3225,,1605.12,100256.4425,104773.6225
2024-25,187,HARYANA,REWARI,26482.73,0,0,26482.73,2224.82,,0,2224.82,1452,,0,1452,31590.68,,110.4,31701.08,35377.9
2024-25,188,HARYANA,ROHTAK,32903.05,0,0,32903.05,553.75,,0,553.75,166.06,,0,166.06,15335.06,,6568.6,21903.66,22623.47
2024-25,189,HARYANA,SIRSA,60874.51,0,0,60874.51,2346.38,,0,2346.38,266.07,,0,266.07,94616.36,,54049.11,148665.47,151277.92
2024-25,190,HARYANA,SONIPAT,62183.27,0,0,62183.27,8951.354,,0,8951.354,939.29,,0,939.29,57721.2875,,1759.5,59480.7875,69371.4315
2024-25,191,HARYANA,YAMUNA NAGAR,52900.48,0,0,52900.48,5072.96,,,5072.96,2340,,,2340,63043.94,,,63043.94,70456.9
2024-25,192,HIMACHAL PRADESH,BALH VALLEY,206.22,2244.21,0,2450.43,,828.66,,828.66,,0,,0,,314.55,,314.55,1143.21
2024-25,193,HIMACHAL PRADESH,CHAUNTRA VALLEY,0,4703.14,0,4703.14,,133.76,,133.76,,0,,0,,0,,0,133.76
2024-25,194,HIMACHAL PRADESH,DHARAMSHALA PALAMPUR VALLEY,0,12324.36,0,12324.36,,3279.47,,3279.47,,0,,0,,1.25,,1.25,3280.72
2024-25,195,HIMACHAL PRADESH,HUM VALLEY,0,669.18,0,669.18,,103.94,,103.94,,6.14,,6.14,,302.45,,302.45,412.53
2024-25,196,HIMACHAL PRADESH,KALA AMB VALLEY,0,1831.89,0,1831.89,,191.95,,191.95,,374.71,,374.71,,95.88,,95.88,662.54
2024-25,197,HIMACHAL PRADESH,NALAGARH VALLEY,0,14519.16,0,14519.16,,1250.88,,1250.88,,5953.38,,5953.38,,2730.96,,2730.96,9935.22
2024-25,198,HIMACHAL PRADESH,NURPUR & INDAURA vALLEY,0,37709.33,0,37709.33,,2550.87,,2550.87,,40.71,,40.71,,6550.23,,6550.23,9141.81
2024-25,199,HIMACHAL PRADESH,POANTA VALLEY,0,7792.68,0,7792.68,,935.23,,935.23,,169.17,,169.17,,711.66,,711.66,1816.06
2024-25,200,HIMACHAL PRADESH,UNA VALLEY BEAS CATCHMENT,0,958.97,0,958.97,,132.24,,132.24,,2.01,,2.01,,149.72,,149.72,283.97
2024-25,201,HIMACHAL PRADESH,UNA VALLEY SUTLEJ CATCHMENT,0,17783.89,0,17783.89,,3283.06,,3283.06,,157.86,,157.86,,8540.22,,8540.22,11981.14
2024-25,202,JAMMU AND KASHMIR,Anantnag,4591.93,5393.85,0,9985.78,652.24,1307.636,,1959.876,0,37.8,,37.8,168.32,200.932,,369.252,2366.928
2024-25,203,JAMMU AND KASHMIR,Bandipora,95.19,4176.92,0,4272.11,,660.861,,660.861,,1.08,,1.08,,11.2036,,11.2036,673.1446
2024-25,204,JAMMU AND KASHMIR,Baramulla,0,9834.88,0,9834.88,,1846.323,,1846.323,,5.4,,5.4,,364.117,,364.117,2215.84
2024-25,205,JAMMU AND KASHMIR,Barmulla,0,0,0,0,,,,0,,,,0,,,,0,0
2024-25,206,JAMMU AND KASHMIR,Budgam,0,4742.16,0,4742.16,,1212.714,,1212.714,,5.4,,5.4,,106.4342,,106.4342,1324.5482
2024-25,207,JAMMU AND KASHMIR,Doda,0,935.94,0,935.94,,170.325,,170.325,,5.4,,5.4,,16.8054,,16.8054,192.5304
2024-25,208,JAMMU AND KASHMIR,Ganderbal,0,970.82,0,970.82,,245.268,,245.268,,10.426,,10.426,,190.4612,,190.4612,446.1552
2024-25,209,JAMMU AND KASHMIR,Jammu,17629.61,23521.22,0,41150.83,4101.426,3631.329,,7732.755,0,719.394,,719.394,3176.2206,2011.0462,,5187.2668,13639.4158
2024-25,210,JAMMU AND KASHMIR,Kathua,9291.8,21412.97,0,30704.77,1750.941,1962.144,,3713.085,0,641.199,,641.199,1786.9742,1204.387,,2991.3612,7345.6452
2024-25,211,JAMMU AND KASHMIR,Kishtwar,0,1188.86,0,1188.86,,150.5,,150.5,,4.32,,4.32,,31.5,,31.5,186.32
2024-25,212,JAMMU AND KASHMIR,Kulgam,0,6112.2,0,6112.2,,1067.78,,1067.78,,29.16,,29.16,,157.8,,157.8,1254.74
2024-25,213,JAMMU AND KASHMIR,Kupwara,0,0,0,0,,,,0,,,,0,,,,0,0
2024-25,214,JAMMU AND KASHMIR,Kupwarar,0,5586.49,0,5586.49,,1171.836,,1171.836,,10.8,,10.8,,16.8054,,16.8054,1199.4414
2024-25,215,JAMMU AND KASHMIR,Mirpur,0,0,0,0,,,,0,,,,0,,,,0,0
2024-25,216,JAMMU AND KASHMIR,Muzaffarabad,0,0,0,0,,,,0,,,,0,,,,0,0
2024-25,217,JAMMU AND KASHMIR,Poonch,0,4622.86,0,4622.86,,444.5,,444.5,,5.4,,5.4,,332.5,,332.5,782.4
2024-25,218,JAMMU AND KASHMIR,Pulwama,0,5210.82,0,5210.82,,1492.047,,1492.047,,15.12,,15.12,,481.7548,,481.7548,1988.9218
2024-25,219,JAMMU AND KASHMIR,Rajouri,1647.37,14365.18,0,16012.55,343,885.5,,1228.5,0,5.4,,5.4,119,668.5,,787.5,2021.4
2024-25,220,JAMMU AND KASHMIR,Ramban,0,665.88,0,665.88,,147,,147,,5.4,,5.4,,59.5,,59.5,211.9
2024-25,221,JAMMU AND KASHMIR,Reasi,586.98,21265.3,0,21852.28,183.951,1819.071,,2003.022,0,36.491,,36.491,0,364.117,,364.117,2403.63
2024-25,222,JAMMU AND KASHMIR,Samba,3183.9,12398.34,0,15582.24,613.17,1526.112,,2139.282,0,156.39,,156.39,319.3026,112.036,,431.3386,2727.0106
2024-25,223,JAMMU AND KASHMIR,Shopian,0,4748.18,0,4748.18,,869.76,,869.76,,27,,27,,129.6,,129.6,1026.36
2024-25,224,JAMMU AND KASHMIR,Srinagar,0,12288.16,0,12288.16,,6574.7,,6574.7,,328.419,,328.419,,44.8144,,44.8144,6947.9334
2024-25,225,JAMMU AND KASHMIR,Srinagar Hilly Area,0,0,0,0,,,,0,,,,0,,,,0,0
2024-25,226,JAMMU AND KASHMIR,Udhampur,1966.02,9020.34,0,10986.36,306.585,1464.795,,1771.38,0,119.899,,119.899,0,464.9494,,464.9494,2356.2284
2024-25,227,JHARKHAND,BOKARO,0,18726.86,0,18726.86,0,4563.809602,,4563.809602,0,2213.90785,,2213.90785,0,2413,,2413,9190.717452
2024-25,228,JHARKHAND,CHATRA,0.18,23461.79,0,23461.97,0,2093.093595,,2093.093595,0,1115.224763,,1115.224763,0,6531,,6531,9739.318358
2024-25,229,JHARKHAND,DEOGHAR,0,15910.72,0,15910.72,0,3077.806673,,3077.806673,0,87.6626,,87.6626,0,5460.625,,5460.625,8626.094273
2024-25,230,JHARKHAND,DHANBAD,0.81,26370.7,0,26371.51,0,6079.010924,,6079.010924,0,10628.11025,,10628.11025,0,2974,,2974,19681.12117
2024-25,231,JHARKHAND,DUMKA,87.31,26825.16,0,26912.47,0,2657.304664,,2657.304664,0,23.615625,,23.615625,0,3742.25,,3742.25,6423.170289
2024-25,232,JHARKHAND,EAST SINGHBHUM,0,25778.08,0,25778.08,0,5165.515989,,5165.515989,0,758.044075,,758.044075,0,1860,,1860,7783.560064
2024-25,233,JHARKHAND,GARHWA,4.69,24716.03,0,24720.72,0,2525.257519,,2525.257519,0,60.529,,60.529,0,7326.875,,7326.875,9912.661519
2024-25,234,JHARKHAND,GIRIDIH,11.51,34514.04,0,34525.55,0,4937.967981,,4937.967981,0,1561.76085,,1561.76085,0,8761.875,,8761.875,15261.60383
2024-25,235,JHARKHAND,GODDA,66.34,20508.42,0,20574.76,0,2629.162726,,2629.162726,0,258.599425,,258.599425,0,1869,,1869,4756.762151
2024-25,236,JHARKHAND,GUMLA,11.6,32014.62,0,32026.22,0,1962.005342,,1962.005342,0,12.53865,,12.53865,0,3789.5,,3789.5,5764.043992
2024-25,237,JHARKHAND,HAZARIBAGH,0,32345.86,0,32345.86,0,3565.497609,,3565.497609,0,470.2529388,,470.2529388,0,7851.375,,7851.375,11887.12555
2024-25,238,JHARKHAND,JAMTARA,14.04,9226.77,0,9240.81,,1601.472485,,1601.472485,,10.15625,,10.15625,,2280.25,,2280.25,3891.878735
2024-25,239,JHARKHAND,KHUNTI,0,13119.37,0,13119.37,0,1073.867321,,1073.867321,0,12.59375,,12.59375,0,2385,,2385,3471.461071
2024-25,240,JHARKHAND,KODERMA,1.01,6594.23,0,6595.24,,1485.992581,,1485.992581,,98.94105,,98.94105,,2529.375,,2529.375,4114.308631
2024-25,241,JHARKHAND,LATEHAR,0,22167.2,0,22167.2,0,1463.000866,,1463.000866,0,105.737475,,105.737475,0,5109,,5109,6677.738341
2024-25,242,JHARKHAND,LOHARDAGA,0,15876.41,0,15876.41,0,941.4200633,,941.4200633,0,8.17001375,,8.17001375,0,1833.5,,1833.5,2783.090077
2024-25,243,JHARKHAND,PAKUR,0,24399.26,0,24399.26,0,1663.498377,,1663.498377,0,28.45675,,28.45675,0,1911.5,,1911.5,3603.455127
2024-25,244,JHARKHAND,PALAMAU,16.74,29926.94,0,29943.68,0,3947.181759,,3947.181759,0,217.3556,,217.3556,0,7102.5,,7102.5,11267.03736
2024-25,245,JHARKHAND,RAMGARH,0,11497.95,0,11497.95,0,2084.304906,,2084.304906,0,3026.555225,,3026.555225,0,1457,,1457,6567.860131
2024-25,246,JHARKHAND,RANCHI,36.48,35518.26,0,35554.74,0,6383.382107,,6383.382107,0,1694.985067,,1694.985067,0,8444.625,,8444.625,16522.99217
2024-25,247,JHARKHAND,SAHEBGANJ,2.39,27387.08,0,27389.47,0,2353.801214,,2353.801214,0,50.291875,,50.291875,0,2207,,2207,4611.093089
2024-25,248,JHARKHAND,SARAIKELA KHARSAWAN,1.2,16337.61,0,16338.81,0,2233.687982,,2233.687982,0,527.1830813,,527.1830813,0,1099.5,,1099.5,3860.371063
2024-25,249,JHARKHAND,SIMDEGA,0,25185.07,0,25185.07,0,1206.702866,,1206.702866,0,0,,0,0,2034,,2034,3240.702866
2024-25,250,JHARKHAND,WEST SINGHBHUM,163.39,43747.63,0,43911.02,0,3078.166381,,3078.166381,0,29.838275,,29.838275,0,2025.5,,2025.5,5133.504656
2024-25,251,KARNATAKA,Bagalkot,40312.46,21357.8,0,61670.26,2241.446823,2262.773043,,4504.219866,12.775,15.5125,,28.2875,14334.37,29780.83,,44115.2,48647.70737
2024-25,252,KARNATAKA,Ballari,56748.65,8807.69,0,65556.34,1336.156668,668.79972,,2004.956388,31.20026988,462.8189557,,494.0192256,8531,5649,,14180,16678.97561
2024-25,253,KARNATAKA,Belagavi,52002.94,55481.77,0,107484.71,4460.651021,8420.388926,,12881.03995,57.956525,180.3574208,,238.3139458,25514.415,37063.29,,62577.705,75697.05889
2024-25,254,KARNATAKA,Bengaluru (Rural),0,16810.69,0,16810.69,,2652.036236,,2652.036236,,1287.347733,,1287.347733,,20734.6209,,20734.6209,24674.00487
2024-25,255,KARNATAKA,Bengaluru (Urban),0,30838.84,0,30838.84,,16223.90281,,16223.90281,,13701.82,,13701.82,,24744.05,,24744.05,54669.77281
2024-25,256,KARNATAKA,Bengaluru South,5219.54,43892.42,0,49111.96,159.106139,1957.115904,,2116.222043,0,1020.6,,1020.6,6734.323864,34909.70493,,41644.02879,44780.85084
2024-25,257,KARNATAKA,Bidar,3792.18,30403.02,0,34195.2,437.16123,3997.141901,,4434.303131,0,70.13,,70.13,2096.05,16646.71,,18742.76,23247.19313
2024-25,258,KARNATAKA,Chamarajanagara,14065.31,22013.39,0,36078.7,863.7693975,1440.148234,,2303.917632,1.33444,28.71314,,30.04758,9175.602986,20373.69,,29549.29299,31883.2582
2024-25,259,KARNATAKA,Chikkaballapura,0,30753.83,0,30753.83,,3049.237521,,3049.237521,,121.3774,,121.3774,,47775.69,,47775.69,50946.30492
2024-25,260,KARNATAKA,Chikkamagaluru,3704.02,57650.82,0,61354.84,72.5221785,2489.402565,,2561.924744,0,202.895,,202.895,514.26,30593.62,,31107.88,33872.69974
2024-25,261,KARNATAKA,Chitradurga,2560.26,36761.09,0,39321.35,199.234593,3780.188784,,3979.423377,0,115.51,,115.51,3887.4,44332.08,,48219.48,52314.41338
2024-25,262,KARNATAKA,Dakshina Kannada,0,65995.09,0,65995.09,,5224.749795,,5224.749795,,53.12346875,,53.12346875,,24888.1905,,24888.1905,30166.06376
2024-25,263,KARNATAKA,Davanagere,37953.93,19841.08,0,57795.01,2371.852125,1313.69121,,3685.543335,140.9671068,88.1196763,,229.0867831,16483.5,30799.9,,47283.4,51198.03012
2024-25,264,KARNATAKA,Dharwad,4920.39,24841.48,0,29761.87,291.957222,1807.014202,,2098.971424,0.9125,115.3,,116.2125,2794.2,11910.08,,14704.28,16919.46392
2024-25,265,KARNATAKA,Gadag,17713.26,14839.21,0,32552.47,381.3228,304.018428,,685.341228,10.13033167,21.10555855,,31.23589022,8689.8,15140.54,,23830.34,24546.91712
2024-25,266,KARNATAKA,Hassan,30340.38,48800.92,0,79141.3,221.411409,951.881091,,1173.2925,14.661,25.604815,,40.265815,12402.13,35035.31301,,47437.44301,48651.00133
2024-25,267,KARNATAKA,Haveri,32751.41,24230,0,56981.41,684.9953635,1338.711454,,2023.706818,7.0664,65.949295,,73.015695,15212.12,19469.08,,34681.2,36777.92251
2024-25,268,KARNATAKA,Kalburgi,18005.59,49419.81,0,67425.4,1601.13101,5763.695765,,7364.826774,1.8,45.9,,47.7,4926.93863,18830.96877,,23757.9074,31170.43417
2024-25,269,KARNATAKA,Kodagu,1991.82,19301.05,0,21292.87,12.1062105,924.5744759,,936.6806864,1.6425,93.24217,,94.88467,1202.4,5345.67,,6548.07,7579.635356
2024-25,270,KARNATAKA,Kolara,0,33032.75,0,33032.75,,4189.652756,,4189.652756,,226.97,,226.97,,56505.97,,56505.97,60922.59276
